date,open,high,low,close,volume,BVPS cơ bản,EPS 4 quý,P/E cơ bản,ROAA,ROEA,ROS,Current_Assets,Current_Liabilities,Total_Liabilities,Equity,Total_Assets
2019-05-21,6640.0,6640.0,6410.0,6590.0,67180,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-22,6640.0,6640.0,6590.0,6590.0,3030,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-23,6530.0,6590.0,6410.0,6560.0,10290,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-24,6700.0,6700.0,6410.0,6530.0,12460,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-27,6590.0,6590.0,6590.0,6590.0,10,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-28,6440.0,6590.0,6440.0,6470.0,12380,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-29,6470.0,6820.0,6470.0,6700.0,15870,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-30,6700.0,6700.0,6590.0,6640.0,12220,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-05-31,6640.0,6700.0,6530.0,6530.0,17230,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-06-03,6590.0,6700.0,6530.0,6530.0,13400,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-06-04,6590.0,6590.0,6470.0,6590.0,30310,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-06-05,6500.0,6530.0,6470.0,6500.0,10260,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-06-06,6590.0,6590.0,6500.0,6590.0,11070,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-06-07,6590.0,6590.0,6530.0,6530.0,3000,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-06-10,6530.0,6530.0,6410.0,6530.0,10940,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-06-11,6530.0,6530.0,6410.0,6440.0,21240,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-06-12,6410.0,6590.0,6410.0,6440.0,3380,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-06-13,6590.0,6590.0,6410.0,6530.0,28540,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-06-14,6440.0,6470.0,6440.0,6440.0,14950,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
2019-06-17,6590.0,6590.0,6440.0,6440.0,16590,17114.0,1573.0,7.54,0.22,0.31,2.4,336454,107265,117147,325042,442189
